method,case_id,python_executable,python_version,implementation,platform,batched_available,batched_strict_available,sumprod_available,expected_classification,actual_classification,api_exercised,input_type,input_length,batch_size,strict_flag,batch_count,batch_lengths,batch_summary,batch_result_hash,flattened_hash,source_consumed,source_exhausted,order_preserved,empty_batch_seen,error_stage,exception_type,exception_message,serial_aggregate_hash,batched_aggregate_hash,global_mean,batch_means,weighted_aggregate,unweighted_aggregate,dropped_count,dropped_ids,serial_score_hash,batched_score_hash,elapsed_s,skip_reason,failure_reason,local_conclusion
inspect_api,python_version_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,True,pass,pass,sys.version,,,,,,,,,,,,,,,,,,,,,,,,,,,9.685754776000977e-06,,,python version recorded
stdlib_batched,python_version_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,True,not_applicable,not_applicable,stdlib_batched,,,,,,,,,,,,,,,,,,,,,,,,,,,7.195863872766495e-06,,,
manual_reference,python_version_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,True,not_applicable,not_applicable,manual_reference,,,,,,,,,,,,,,,,,,,,,,,,,,,4.684086889028549e-06,,,
streaming_observation,python_version_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,True,not_applicable,not_applicable,streaming_observation,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0440278351306915e-06,,,
hn_ml_context,python_version_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,True,not_applicable,not_applicable,hn_ml_context,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1171366572380066e-06,,,
inspect_api,itertools_batched_available_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,True,pass,pass,inspect_api,,,,,,,,,,,,,,,,,,,,,,,,,,,5.354173481464386e-06,,,batched_available=True
stdlib_batched,itertools_batched_available_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,True,not_applicable,not_applicable,stdlib_batched,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9462389647960663e-06,,,
manual_reference,itertools_batched_available_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,True,not_applicable,not_applicable,manual_reference,,,,,,,,,,,,,,,,,,,,,,,,,,,2.500135451555252e-06,,,
streaming_observation,itertools_batched_available_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,True,not_applicable,not_applicable,streaming_observation,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2961758077144623e-06,,,
hn_ml_context,itertools_batched_available_marker,/python-lab/.local/bin/python3.14,"3.14.6 (main, Jun 11 2026, 04:03:53) [Clang 22.1.3 ]",CPython,Linux-6.17.0-1009-aws-x86_64-with-glibc2.39,True,True,True,not_applicable,not_applicable,hn_ml_context,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3762695491313934e-06,,,
